t	ActualVehicleSpeed_kph	BatteryPack01ShuntPlusCurrent_a	BatteryPack01ShuntPlusCurrentQualifier_enum	BatteryPack01ShuntMinusCurrent_a	BatteryPack01ShuntMinusCurrentQualifier_enum	BMSRelay01Status_enum	BMSRelay01StatusQualifier_enum	BatteryPack01VoltagePlus_v	BatteryPack01VoltageMinus_v	BatteryPack01Cell001temperature_c
28	31.9	304.42	0.0	309.6	0.0	0.0	0.0	198.93	200.73	13.22
29	31.95	312.3	0.0	301.46	0.0	0.0	0.0	194.57	200.06	14.03
30	34.29	310.43	0.0	312.1	0.0	0.0	0.0	200.91	192.2	12.25
31	35.46	302.04	0.0	300.34	0.0	0.0	0.0	201.54	197.52	10.69
32	35.53	311.49	0.0	300.04	0.0	0.0	0.0	198.1	192.97	11.12
33	36.54	308.75	0.0	302.47	0.0	0.0	0.0	200.31	195.01	14.38
34	38.14	302.55	0.0	308.48	0.0	0.0	0.0	197.81	198.92	11.67
35	38.62	300.18	0.0	309.66	0.0	0.0	0.0	200.27	197.94	10.13
36	40.69	302.48	0.0	303.4	0.0	0.0	0.0	199.41	193.4	14.35
37	42.68	305.8	0.0	308.57	0.0	0.0	0.0	195.15	196.54	13.59
38	43.04	306.66	0.0	301.52	0.0	0.0	0.0	195.42	199.31	13.73
39	44.99	301.42	0.0	303.58	0.0	0.0	0.0	192.28	199.36	12.33
40	44.59	300.59	0.0	308.95	0.0	0.0	0.0	194.17	192.32	13.64
41	46.82	300.54	0.0	307.67	0.0	0.0	0.0	196.59	198.4	11.76
42	47.58	313	0.0	312.16	0.0	0.0	0.0	196.67	195.14	13.39
43	47.35	311.73	0.0	304.29	0.0	0.0	0.0	192.32	198.15	12.57
44	50.31	300.58	0.0	302.87	0.0	0.0	0.0	194.74	196.3	14.96
45	50.65	311.91	0.0	306.43	0.0	0.0	0.0	200.67	192.07	12.11
46	52.66	305.45	0.0	300.8	0.0	0.0	0.0	194.28	200.16	14.87
47	52.17	313.47	0.0	300.89	0.0	0.0	0.0	194.12	201.05	14.33
48	52.82	312.74	0.0	308.45	0.0	0.0	0.0	196.55	200.67	10.4
49	55.35	310.18	0.0	301.66	0.0	0.0	0.0	192.17	193.74	14.98
50	57.69	301.81	0.0	307.89	0.0	0.0	0.0	201.13	194.16	13.45
51	58.78	314.42	0.0	310.94	0.0	0.0	0.0	195.84	198.62	10.51
52	58.84	301.97	0.0	311.31	0.0	0.0	0.0	197.01	193.66	12.77
53	60.37	310.32	0.0	302.38	0.0	0.0	0.0	201.41	192.26	13.77
54	59.89	312.67	0.0	313	0.0	0.0	0.0	194.19	195.77	11.37
55	63.19	304.84	0.0	310.17	0.0	0.0	0.0	194.77	200.33	14.9
56	64.15	303.09	0.0	308.14	0.0	0.0	0.0	198.87	195.14	12.49
57	65.46	301.44	0.0	309.23	0.0	0.0	0.0	199.78	197.09	12.21
58	64.07	305.05	0.0	311.8	0.0	0.0	0.0	193.47	193.12	11.82
59	66.8	300.17	0.0	311.21	0.0	0.0	0.0	200.38	201.5	13.02
60	66.37	304.95	0.0	312.64	0.0	0.0	0.0	199.66	194.72	11.66
61	68.33	311.84	0.0	314.06	0.0	0.0	0.0	192.67	197	12.33
62	69.64	308.58	0.0	318.76	0.0	0.0	0.0	196.81	199.82	14.67
63	70.05	318.57	0.0	317.86	0.0	0.0	0.0	192.73	193.44	17
64	72.7	315.93	0.0	316.25	0.0	0.0	0.0	196.21	200.21	19.33
65	72.99	325.9	0.0	315.65	0.0	0.0	0.0	197.8	196.33	21.67
66	73.99	324.64	0.0	319.78	0.0	0.0	0.0	197.82	197.28	24
67	75.48	321.46	0.0	320.8	0.0	0.0	0.0	198.34	201.13	26.33
68	77.44	326.77	0.0	322.97	0.0	0.0	0.0	199.04	193.25	28.67
69	78.43	330.71	0.0	330.39	0.0	0.0	0.0	198.56	199.46	31
70	79.39	339.07	0.0	335.92	0.0	0.0	0.0	196.58	196.28	33.33
71	79.47	334.65	0.0	340.86	0.0	0.0	0.0	192.03	196.17	35.67
72	83.01	332.45	0.0	333	0.0	0.0	0.0	198.09	197.58	38
73	82	334.16	0.0	337.93	0.0	0.0	0.0	197.7	196.51	40.33
74	84.7	348.16	0.0	338.22	0.0	0.0	0.0	194.35	199.58	42.67
75	83.69	349.02	0.0	338.3	0.0	0.0	0.0	201.15	192.7	45
76	83.91	349.89	0.0	345.78	0.0	0.0	0.0	196.7	194.22	47.33
77	85.55	346.57	0.0	344.4	0.0	0.0	0.0	192.49	195.42	49.67
78	86.24	356.95	0.0	348.38	0.0	0.0	0.0	199.14	197.35	52
79	90.58	350.95	0.0	356.25	0.0	0.0	0.0	192.96	198.46	54.33
80	90.85	360.25	0.0	364.18	0.0	0.0	0.0	200.54	197.6	56.67
81	90.92	367.05	0.0	355.2	0.0	0.0	0.0	197.94	196.58	59
82	90.7	365.09	0.0	357.46	0.0	0.0	0.0	193.74	194.18	61.33
83	94.49	361.05	0.0	364.81	0.0	0.0	0.0	198.33	196.67	63.67
84	95.88	368.86	0.0	367.08	0.0	0.0	0.0	200.45	198.6	66
85	96.46	369.06	0.0	366.01	0.0	0.0	0.0	195.13	196.78	68.33
86	94.97	367.04	0.0	367.57	0.0	0.0	0.0	192.72	195.75	70.67
87	99.19	373.31	0.0	370.75	0.0	0.0	0.0	197.5	193.74	73
88	100.39	372.91	0.0	377.22	0.0	0.0	0.0	201.6	198	75.33
89	102.25	382.18	0.0	383.03	0.0	0.0	0.0	196.98	197.67	77.67
90	102.65	388.29	0.0	388.9	0.0	0.0	0.0	199.58	194.05	80
91	100.26	384.73	0.0	386.34	0.0	0.0	0.0	196.6	195.16	82.33
92	105.68	388.5	0.0	384.61	0.0	0.0	0.0	193.28	194.42	84.67
93	105.44	385.81	0.0	387.22	0.0	0.0	0.0	197.4	200.9	87
94	107.29	394.85	0.0	389.26	0.0	0.0	0.0	193.95	194.94	89.33
95	105.47	388.66	0.0	391.71	0.0	0.0	0.0	201.15	193.81	91.67
96	110.66	399.54	0.0	397.87	0.0	0.0	0.0	197.71	198.82	94
97	108.57	394.73	0.0	394.65	0.0	0.0	0.0	198.23	199.98	96.33
98	111.62	398.05	0.0	397.02	0.0	0.0	0.0	197.37	198.75	98.67
99	109.49	399.21	0.0	398.45	0.0	0.0	0.0	195.04	199.21	101
100	110.43	413.48	0.0	414.22	0.0	0.0	0.0	194.98	192.37	103.33
101	114.85	409.38	0.0	403.35	0.0	0.0	0.0	199.9	192.65	105.67
102	116.68	413.11	0.0	409.04	0.0	0.0	0.0	199.54	194.79	108
103	116.25	413.89	0.0	420.06	0.0	0.0	0.0	193.9	199.24	110.33
104	114.82	414.94	0.0	416.26	0.0	0.0	0.0	193.64	193.6	112.67
105	118.45	420.74	0.0	416.63	0.0	0.0	0.0	200.08	197.26	115
106	116.61	427.2	0.0	417.92	0.0	0.0	0.0	200.27	196.05	117.33
107	121.01	425.71	0.0	419.66	0.0	0.0	0.0	195.4	198.67	119.67
108	124.61	424.54	0.0	432.15	0.0	0.0	0.0	200.68	196.52	122
109	120.84	432.57	0.0	426.27	0.0	0.0	0.0	198.18	196.39	124.33
110	123.97	432.38	0.0	439.2	0.0	0.0	0.0	201.21	193.69	126.67
111	122.57	430.69	0.0	436.89	0.0	0.0	0.0	192.06	194.35	129
112	127.39	436.32	0.0	433.52	0.0	0.0	0.0	193.4	192.2	131.33
113	130.01	436.08	0.0	444.59	0.0	0.0	0.0	198.32	198.93	133.67
114	125.9	436.99	0.0	449.24	0.0	0.0	0.0	199.63	201.56	136
115	128.58	446.68	0.0	443.64	0.0	0.0	0.0	196.23	193.99	138.33
116	132.15	453.83	0.0	442.94	0.0	0.0	0.0	199.99	199.1	140.67
117	132.6	447.3	0.0	455.25	0.0	1	0.0	195.95	197.35	143
118	133	450.4	0.0	453.59	0.0	1	0.0	198.5	193.73	145.33
119	134.69	460.86	0.0	448.03	0.0	1	0.0	200.74	201.15	147.67
120	136.52	462.31	0.0	462.38	0.0	1	0.0	200.73	198.68	119
121	131.52	456	1	460	1	1	0.0	196.59	196.14	119
122	126.52	457	1	461	1	1	0.0	192.64	200.67	119
123	121.52	458	1	462	1	1	0.0	196.95	192.94	119
124	116.52	459	1	462	1	1	0.0	199.77	193.72	119
125	111.52	460	1	462	1	1	0.0	196	200.11	119
126	106.52	460	1	462	1	1	0.0	201.06	201.04	119
127	101.52	460	1	462	1	1	0.0	195.39	200.56	119
128	96.52	461.0	0.0	462.0	0.0	0.0	0.0	198.38	201.38	119.0
129	91.52	460	1	462	1	1	0.0	194.46	196.95	119
130	86.52	460	1	462	1	1	0.0	200.44	199.56	119
131	81.52	460	1	462	1	1	0.0	200.68	197.54	119
132	76.52	460	1	462	1	1	0.0	192.04	200.77	119
133	71.52	460	1	462	1	1	0.0	192.18	192.62	119
134	66.52	460	1	462	1	1	0.0	196.49	201.27	119
135	61.52	460	1	462	1	1	0.0	200.63	195.91	119
136	56.52	460	1	462	1	1	0.0	194.71	192.87	119
137	51.52	460	1	462	1	1	0.0	193.44	196.66	119
138	46.52	460	1	462	1	1	0.0	194.32	200.92	119
139	41.52	460	1	462	1	1	0.0	198.94	194.97	119
140	36.52	460	1	462	1	1	0.0	198.48	198.24	119
141	31.52	460	1	462	1	1	0.0	197.22	198.55	119
142	26.52	460	1	462	1	1	0.0	195.72	195.88	119
143	21.52	460	1	462	1	1	0.0	193.35	192.15	119
144	16.52	460	1	462	1	1	0.0	200.64	196.42	119
145	11.52	460	1	462	1	1	0.0	197.6	195.8	119
146	6.52	460	1	462	1	1	0.0	195.96	198.79	119
147	0.0	460	1	462	1	1	0.0	194.53	200.38	119
148	0.0	460	1	462	1	1	0.0	193.84	195.6	119
149	0.0	460	1	462	1	1	0.0	195.14	198.8	119
119	0.0	460	1	462	1	1	0.0	201.55	199.31	119
151	0.0	460	1	462	1	1	0.0	197.01	194.77	119
152	0.0	460	1	462	1	1	0.0	197.26	195.78	119
153	0.0	460	1	462	1	1	0.0	197.51	199.25	119
154	0.0	460	1	462	1	1	0.0	195.7	200.32	119
155	0.0	460	1	462	1	1	0.0	198.78	195.04	119
156	0.0	460	1	462	1	1	0.0	196.85	198.01	119
157	0.0	460	1	462	1	1	0.0	193.09	196.81	119
158	0.0	460	1	462	1	1	0.0	194.16	198.73	119
159	0.0	460	1	462	1	1	0.0	201.46	193.8	119
160	0.0	460	1	462	1	1	0.0	196.82	200.02	119
161	0.0	460	1	462	1	1	0.0	194.64	196.46	119
162	0.0	460	1	462	1	1	0.0	200.92	199.79	119
163	0.0	460	1	462	1	1	0.0	193.32	192.73	119
164	0.0	460	1	462	1	1	0.0	198.17	199.97	119
165	0.0	460	1	462	1	1	0.0	192.94	193.24	119
166	0.0	460	1	462	1	1	0.0	200.93	200.06	119
167	0.0	460	1	462	1	1	0.0	193.66	197.63	119
168	0.0	460	1	462	1	1	0.0	193.24	193.9	119
169	0.0	460	1	462	1	1	0.0	200.63	198.99	119
170	0.0	460	1	462	1	1	0.0	200.17	196.25	119
171	0.0	460	1	462	1	1	0.0	198.52	200.56	119
172	0.0	460	1	462	1	1	0.0	196.67	193.17	119
173	0.0	460	1	462	1	1	0.0	197.58	198.2	119
174	0.0	460	1	462	1	1	0.0	196.52	194.61	119
175	0.0	460	1	462	1	1	0.0	196.7	195.27	119
176	0.0	460	1	462	1	1	0.0	196.27	193.78	119
177	0.0	460	1	462	1	1	0.0	193.5	195.04	119
178	0.0	460	1	462	1	1	0.0	199.68	196.28	119
179	0.0	460	1	462	1	1	0.0	196.76	193.64	119
180	0.0	460	1	462	1	1	0.0	192.64	197.49	119
181	1.15	306.08	0.0	301.67	0.0	0.0	0.0	200.71	197.97	13.01
182	2.31	309.97	0.0	303.64	0.0	0.0	0.0	196.09	193.59	10.31
183	3.44	300.15	0.0	306.64	0.0	0.0	0.0	201.56	197.15	14.8
184	4.48	311.13	0.0	300.68	0.0	0.0	0.0	199.99	200.64	12.45
185	5.65	304.43	0.0	310.51	0.0	0.0	0.0	197.56	195.68	11.87
186	6.85	303.22	0.0	313.94	0.0	0.0	0.0	194.29	199.84	11.53
187	7.9	301.69	0.0	302.82	0.0	0.0	0.0	195.37	192.84	13.25
188	9.08	309.36	0.0	300.2	0.0	0.0	0.0	192.42	200.52	15
189	10.18	302.7	0.0	311.59	0.0	0.0	0.0	199.48	197.85	14.75
190	11.17	301.12	0.0	303.7	0.0	0.0	0.0	201.28	199.09	11.07
191	12.23	301.79	0.0	301.34	0.0	0.0	0.0	196.87	197.28	13.07
192	13.43	314.69	0.0	309.99	0.0	0.0	0.0	195.94	198.3	12.7
193	15.01	302.47	0.0	314.23	0.0	0.0	0.0	192.01	199.09	12.2
194	15.84	304.73	0.0	300.78	0.0	0.0	0.0	192.18	198.1	10.27
195	17.3	312.15	0.0	307.92	0.0	0.0	0.0	197.77	197.33	11.74
196	18.01	314.97	0.0	314.48	0.0	0.0	0.0	200.56	195.73	12.54
197	19.44	310.81	0.0	300.38	0.0	0.0	0.0	200.63	197.08	12.1
198	20.65	310.73	0.0	301.09	0.0	0.0	0.0	197.09	200.78	11.9
199	21.81	311.57	0.0	308.72	0.0	0.0	0.0	195.95	196.64	14.77
200	22.37	311.64	0.0	313.78	0.0	0.0	0.0	193.31	193.94	13.98
201	23.13	314.94	0.0	300.48	0.0	0.0	0.0	198.64	199.72	10.69
202	24.82	302.99	0.0	311.17	0.0	0.0	0.0	198.88	194.57	14.61
203	25.5	304.44	0.0	313.47	0.0	0.0	0.0	200.4	193.77	11.55
204	26.56	303.82	0.0	308.07	0.0	0.0	0.0	194.4	196.64	11.93
205	27.66	310.72	0.0	306.16	0.0	0.0	0.0	193.24	200.95	10.7
206	28.72	307.76	0.0	314.24	0.0	0.0	0.0	199.29	196.17	12.33
207	31.16	301.39	0.0	300.23	0.0	0.0	0.0	196.72	195.45	13.03
208	32.33	306.36	0.0	304.34	0.0	0.0	0.0	194.56	194.69	11.8
209	33.1	302.3	0.0	308.96	0.0	0.0	0.0	198.14	201.58	12.12
210	34.09	305.78	0.0	304.95	0.0	0.0	0.0	197.22	201.49	11.22
211	35.4	307.02	0.0	300.41	0.0	0.0	0.0	194.05	200.39	13.81
212	36.11	311.22	0.0	313.31	0.0	0.0	0.0	198.14	197.6	14.85
213	37.14	312.85	0.0	301.64	0.0	0.0	0.0	193.86	196.44	13.57
214	39.04	304.98	0.0	304.27	0.0	0.0	0.0	199.93	199.02	10.67
215	40.23	308.07	0.0	304.8	0.0	0.0	0.0	199.06	193.39	13.66
216	40.47	309.68	0.0	300.85	0.0	0.0	0.0	193.84	198.49	14.46
217	40.8	308.98	0.0	310.74	0.0	0.0	0.0	199.43	192.99	10.18
218	43.7	300.84	0.0	307.5	0.0	0.0	0.0	200.04	196.98	11.96
219	43.85	308.02	0.0	313.71	0.0	0.0	0.0	194.04	201.08	10.48
220	44.51	307.83	0.0	307.36	0.0	0.0	0.0	195.62	197.25	14.46
221	46.42	300.13	0.0	307.01	0.0	0.0	0.0	199.55	197.32	13.18
222	48.43	310.85	0.0	306.65	0.0	0.0	0.0	197.81	199.25	11.07
223	49.5	302.33	0.0	304.69	0.0	0.0	0.0	193.59	194.19	11.15
224	50.72	301.01	0.0	306.43	0.0	0.0	0.0	193.17	192.75	12.49
225	49.64	300.82	0.0	308.18	0.0	0.0	0.0	199.02	194.41	13.71
226	52.3	307.68	0.0	300.84	0.0	0.0	0.0	192.55	198.92	11.02
227	52.03	311.11	0.0	314.64	0.0	0.0	0.0	195.82	193.53	12.4
228	53.47	301.8	0.0	303.08	0.0	0.0	0.0	199.99	196.08	14.33
229	55.24	302.03	0.0	302.7	0.0	0.0	0.0	195.81	198.68	14.18
230	56.9	306.44	0.0	309.31	0.0	0.0	0.0	195.31	196.03	14.85
231	56.64	312.41	0.0	302.16	0.0	0.0	0.0	196.88	193.24	12.77
232	58.89	302.99	0.0	301.8	0.0	0.0	0.0	193.88	201.34	10.64
233	60.66	300.23	0.0	304.6	0.0	0.0	0.0	193.95	193.75	14.96
234	62.01	308.44	0.0	303.76	0.0	0.0	0.0	199.93	195.61	12.94
235	61.46	302.47	0.0	313.84	0.0	0.0	0.0	196.47	201.55	11.85
236	64.59	304.07	0.0	310.68	0.0	0.0	0.0	192.38	196.98	13.82
237	64.3	313.03	0.0	300.01	0.0	0.0	0.0	199.66	194.64	11.61
238	65.49	301.83	0.0	307.28	0.0	0.0	0.0	200.81	192.85	13.48
239	66.42	300.96	0.0	313.94	0.0	0.0	0.0	200.8	193.75	11.57
240	67.52	309.82	0.0	311.03	0.0	0.0	0.0	192.87	193.06	12.98
241	67.52	304.53	0.0	301.98	0.0	0.0	0.0	198.24	193.82	14.89
242	66.52	309.51	0.0	303.67	0.0	0.0	0.0	192.83	199.05	13.98
243	65.52	300.25	0.0	311.55	0.0	0.0	0.0	196.69	196.18	12.21
244	64.52	306.89	0.0	303.11	0.0	0.0	0.0	197.72	198.67	12.76
245	63.52	307.45	0.0	313.53	0.0	0.0	0.0	199.76	199.31	11.42
246	62.52	310.01	0.0	301.05	0.0	0.0	0.0	200.91	196.01	10.17
247	61.52	304.89	0.0	305.89	0.0	0.0	0.0	194.7	197.79	13.37
248	60.52	313.61	0.0	305.76	0.0	0.0	0.0	201.58	195.66	10.87
249	59.52	310.46	0.0	300.59	0.0	0.0	0.0	196.66	195.9	14
250	58.52	302.63	0.0	311.3	0.0	0.0	0.0	192.98	201.06	11.93
251	57.52	312.57	0.0	312.67	0.0	0.0	0.0	195.53	192.53	13.79
252	56.52	305.86	0.0	300.01	0.0	0.0	0.0	197.7	193.21	11.45
253	55.52	301.9	0.0	306.5	0.0	0.0	0.0	195.79	195.88	12.53
254	54.52	309.39	0.0	302.97	0.0	0.0	0.0	193.85	192.65	14.57
255	53.52	304.12	0.0	303.81	0.0	0.0	0.0	194.78	197.76	11
256	52.52	313.01	0.0	302.01	0.0	0.0	0.0	201.32	192.01	12.8
257	51.52	312.38	0.0	312.05	0.0	0.0	0.0	194.03	194.8	14.7
258	50.52	302.87	0.0	312.12	0.0	0.0	0.0	192.41	196.48	13.19
259	49.52	300.2	0.0	300.22	0.0	0.0	0.0	192.6	199.38	11.57
260	48.52	314.78	0.0	312.08	0.0	0.0	0.0	199.25	194.16	13.5
261	47.52	311.19	0.0	309.74	0.0	0.0	0.0	200.21	197.58	14.77
262	46.52	314.67	0.0	313.24	0.0	0.0	0.0	199.13	195.11	13.95
263	45.52	311.9	0.0	308.7	0.0	0.0	0.0	201.21	198.86	14.89
264	44.52	300.85	0.0	307.9	0.0	0.0	0.0	200.53	197.29	13.31
265	43.52	314.75	0.0	303.16	0.0	0.0	0.0	198.26	199.53	13.73
266	42.52	310.18	0.0	312.9	0.0	0.0	0.0	197.83	195.24	13.46
267	41.52	303.35	0.0	303.57	0.0	0.0	0.0	197.34	198.68	11.69
268	40.52	311.64	0.0	312.59	0.0	0.0	0.0	199.95	198.76	11.87
269	39.52	308.86	0.0	302.65	0.0	0.0	0.0	200.74	197.95	11.51
270	38.52	303.07	0.0	313.98	0.0	0.0	0.0	199.26	197.57	14.22
271	37.52	302.25	0.0	313.32	0.0	0.0	0.0	192.67	196.29	12.88
272	36.52	308.45	0.0	305.04	0.0	0.0	0.0	195.7	197.84	10.71
273	35.52	305.21	0.0	314.44	0.0	0.0	0.0	201.46	198.93	13.93
274	34.52	313.49	0.0	311.29	0.0	0.0	0.0	197.5	201.28	12.56
275	33.52	305.45	0.0	305.98	0.0	0.0	0.0	198.44	196.94	11.8
276	32.52	303.1	0.0	304.82	0.0	0.0	0.0	194.67	200.83	14.18
277	31.52	302.71	0.0	304.14	0.0	0.0	0.0	192.14	197.18	13.98
278	30.52	301.83	0.0	305.33	0.0	0.0	0.0	193.98	196.06	12.63
279	29.52	311.94	0.0	313.45	0.0	0.0	0.0	196.33	201.08	12.46
280	28.52	302.32	0.0	308.65	0.0	0.0	0.0	192.19	193.85	10.51
281	27.52	308.34	0.0	312.25	0.0	0.0	0.0	194.25	200.28	10.17
282	26.52	309.58	0.0	306.75	0.0	0.0	0.0	195.15	194.01	13.95
283	25.52	314.08	0.0	313.66	0.0	0.0	0.0	192.6	197.87	10.78
284	24.52	303	0.0	313.63	0.0	0.0	0.0	194.57	194.32	11.26
285	23.52	313.34	0.0	314.08	0.0	0.0	0.0	198.4	194.8	14.58
286	22.52	301.15	0.0	303.79	0.0	0.0	0.0	196.35	199.96	11.04
287	21.52	311.11	0.0	310.41	0.0	0.0	0.0	193.21	194.53	13.48
288	20.52	311.48	0.0	308.99	0.0	0.0	0.0	193	200.5	14.17
289	18.52	302.8	0.0	303.04	0.0	0.0	0.0	192.21	197.45	14.05
290	16.52	305.19	0.0	300.12	0.0	0.0	0.0	201.28	193.41	13.42
291	14.52	301.17	0.0	310.11	0.0	0.0	0.0	195.94	199.19	11.08
292	12.52	312.05	0.0	310.18	0.0	0.0	0.0	196.26	194.07	11.42
293	10.52	306.07	0.0	302.27	0.0	0.0	0.0	201.05	194.84	12.46
294	8.52	308.88	0.0	304.79	0.0	0.0	0.0	193.3	198.85	12.93
295	6.52	312.83	0.0	307.54	0.0	0.0	0.0	198.11	192.84	14.69
296	4.52	307.58	0.0	309.81	0.0	0.0	0.0	197.69	195.21	10.15
297	2.52	312.98	0.0	314.11	0.0	0.0	0.0	200.65	200.16	14.47
298	0.52	302.8	0.0	311.83	0.0	0.0	0.0	195.27	198.4	11.45
299	0.0	304.63	0.0	304.75	0.0	0.0	0.0	200.83	194.19	11.75
300	0.0	307.29	0.0	303.43	0.0	0.0	0.0			11.63
